sku,instanceType,family,regionCode,location,operatingSystem,tenancy,vcpu,memory_gb,price_usd_hour,unit,price_per_vcpu,price_per_gb
DX58WZTYVRSG2X42,r6in.xlarge,r6in,us-east-1,US East (N. Virginia),Linux,Shared,4.0,32.0,0.34866,Hrs,0.087165,0.010895625
DXZ5HKD4TMTGX8XP,r7a.metal-48xl,r7a,us-east-1,US East (N. Virginia),Linux,Shared,192.0,1536.0,14.6064,Hrs,0.076075,0.009509375
DZQT957KDDQ2WZ64,i8g.2xlarge,i8g,us-east-1,US East (N. Virginia),Linux,Shared,8.0,64.0,0.6864,Hrs,0.0858,0.010725
E29VP3XNBQ85NWSX,r6in.8xlarge,r6in,us-east-1,US East (N. Virginia),Linux,Shared,32.0,256.0,2.78928,Hrs,0.087165,0.010895625
E2KFUE6DHVS3HDJM,t4g.medium,t4g,us-east-1,US East (N. Virginia),Linux,Shared,2.0,4.0,0.0336,Hrs,0.0168,0.0084
E475VVV6JVDZRXAG,c7g.12xlarge,c7g,us-east-1,US East (N. Virginia),Linux,Shared,48.0,96.0,1.74,Hrs,0.03625,0.018125
E4BDJUKGV4M9H2PX,d3.2xlarge,d3,us-east-1,US East (N. Virginia),Linux,Shared,8.0,64.0,0.999,Hrs,0.124875,0.015609375
E5BMBKRN8Q8RSE2C,c8gd.large,c8gd,us-east-1,US East (N. Virginia),Linux,Shared,2.0,4.0,0.09798,Hrs,0.04899,0.024495
E6F233RP3NBR34FD,m5ad.16xlarge,m5ad,us-east-1,US East (N. Virginia),Linux,Shared,64.0,256.0,3.296,Hrs,0.0515,0.012875
E7JDCJV6YEBWCUZQ,is4gen.4xlarge,is4gen,us-east-1,US East (N. Virginia),Linux,Shared,16.0,96.0,2.3052,Hrs,0.144075,0.0240125
E8ZFW5VX39K37SVF,c6i.4xlarge,c6i,us-east-1,US East (N. Virginia),Linux,Shared,16.0,32.0,0.68,Hrs,0.0425,0.02125
EBDF5UVXYGEUB26S,c8gn.2xlarge,c8gn,us-east-1,US East (N. Virginia),Linux,Shared,8.0,16.0,0.474,Hrs,0.05925,0.029625
EBRWZVHDHP2KJAMQ,x1e.4xlarge,x1e,us-east-1,US East (N. Virginia),Linux,Shared,16.0,488.0,3.336,Hrs,0.2085,0.0068360655737704
ECM8RSBXMC7F4WAS,m4.16xlarge,m4,us-east-1,US East (N. Virginia),Linux,Shared,64.0,256.0,3.2,Hrs,0.05,0.0125
EDQFZCMZ296MNBZS,u-24tb1.112xlarge,u-24tb1,us-east-1,US East (N. Virginia),Linux,Shared,448.0,24576.0,218.4,Hrs,0.4875,0.00888671875
EDZTC2KBZ2BMEUTE,g6f.2xlarge,g6f,us-east-1,US East (N. Virginia),Linux,Shared,8.0,32.0,0.475,Hrs,0.059375,0.01484375
EEG83JMU4GSPMT2T,c6gn.large,c6gn,us-east-1,US East (N. Virginia),Linux,Shared,2.0,4.0,0.0864,Hrs,0.0432,0.0216
EEGHD9J35W53GXB3,r5dn.16xlarge,r5dn,us-east-1,US East (N. Virginia),Linux,Shared,64.0,512.0,5.344,Hrs,0.0835,0.0104375
EF9CFHW44C2Y8P2K,r5d.4xlarge,r5d,us-east-1,US East (N. Virginia),Linux,Shared,16.0,128.0,1.152,Hrs,0.072,0.009
EJ6HNBAJ4EJ82DVS,d3en.6xlarge,d3en,us-east-1,US East (N. Virginia),Linux,Shared,24.0,96.0,3.154,Hrs,0.1314166666666666,0.0328541666666666
